bronroute,bron_contentblok,doelroute,gevalideerd_fragment,anker_primair,anker_alternatief,reden_volgende_gebruikersvraag,bestandseigenaar,indexvoorwaarde,activatiestatus,qa_status
/diensten/,#verhuizen,/werkwijze/,#opname,het begint met een opname aan huis,hoe wij uw verhuizing voorbereiden,Hoe komen jullie aan een prijs?,T2 (_werk/paginas/diensten.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #opname aanwezig in gebouwde HTML, 30-08-2026"
/diensten/,#verhuizen,/verhuischecklist/,#checklist,wat u zelf op tijd moet regelen,onze verhuischecklist,Wat moet ik zelf nog doen?,T2 (_werk/paginas/diensten.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #checklist aanwezig in gebouwde HTML, 30-08-2026"
/diensten/,#verhuisdiensten,/inpaktips/,#inpak-start,zelf inpakken zonder schade,onze inpaktips,Kan ik dit ook zelf doen?,T2 (_werk/paginas/diensten.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #inpak-start aanwezig in gebouwde HTML, 30-08-2026"
/diensten/,#verhuisdiensten,/dozencalculator/,#calc,hoeveel dozen u nodig heeft,reken uw dozen uit,Hoeveel dozen heb ik nodig als ik het zelf doe?,T2 (_werk/paginas/diensten.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #calc aanwezig in gebouwde HTML, 30-08-2026"
/diensten/,#specialistisch,/verzekering/,#bedragen,tot welk bedrag uw inboedel gedekt is,wat er verzekerd is,En als er iets kapotgaat aan een kostbaar stuk?,T2 (_werk/paginas/diensten.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #bedragen aanwezig in gebouwde HTML, 30-08-2026"
/diensten/,#faq,/veelgestelde-vragen/,(paginabreed),alle veelgestelde vragen,meer vragen en antwoorden,Mijn vraag staat er niet bij,T1 (_werk/build_kievit.py),"doelroute is indexeerbaar; GEDEELD BLOK, verschijnt op 12 routes tegelijk",TE PLAATSEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#verhuizen,/particulier-verhuizen/,(paginabreed),particuliere verhuizing,een woning laten verhuizen,Wat houdt een particuliere verhuizing precies in?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#verhuizen,/internationale-verhuizing/,(paginabreed),internationale verhuizing,verhuizen over de grens,Verhuizen jullie ook naar het buitenland?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#verhuizen,/seniorenverhuizing/,(paginabreed),seniorenverhuizing,kleiner gaan wonen,Kan het rustig en in mijn eigen tempo?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#verhuizen,/spoedverhuizing/,(paginabreed),spoedverhuizing,verhuizen op korte termijn,Kan het volgende week nog?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#verhuisdiensten,/inpakservice/,(paginabreed),inpakservice,het inpakken uitbesteden,Kan iemand anders het inpakken doen?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#verhuisdiensten,/montage-demontage/,(paginabreed),montage en demontage,meubels uit elkaar en weer in elkaar,Halen jullie mijn kasten uit elkaar?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#verhuisdiensten,/inboedelopslag/,(paginabreed),inboedelopslag,tijdelijke opslag van uw inboedel,Waar staan mijn spullen tussendoor?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#specialistisch,/zorgverhuizing/,(paginabreed),zorgverhuizing,verhuizen in een zorgomgeving,Kunnen jullie met bewoners en zorgpersoneel werken?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#specialistisch,/piano-verhuizen/,(paginabreed),piano verhuizen,een piano of vleugel verplaatsen,Hoe krijgen jullie mijn vleugel de trap af?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#specialistisch,/antiek-en-kunst-verhuizen/,(paginabreed),antiek en kunst,waardevolle stukken verhuizen,Wat doen jullie extra bij kwetsbare stukken?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/diensten/,#specialistisch,/kantoorverhuizing/,(paginabreed),kantoorverhuizing,een bedrijf of praktijk verhuizen,Hoe lang ligt mijn bedrijf stil?,T2 (_werk/paginas/diensten.html),ACTIEF maar wijst nu naar een noindex-route,TE HERRICHTEN,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/werkwijze/,#opname,/m3-calculator/,#m3-intro-kop,zelf alvast uw volume schatten,de m3-calculator,Kan ik vooraf al inschatten hoe groot mijn inboedel is?,T2 (_werk/paginas/werkwijze.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #m3-intro-kop aanwezig in gebouwde HTML, 30-08-2026"
/werkwijze/,#zo-werkt-het,/verhuischecklist/,#checklist,wat er van uw kant bij komt kijken,de verhuischecklist,En wat moet ik zelf regelen?,T2 (_werk/paginas/werkwijze.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #checklist aanwezig in gebouwde HTML, 30-08-2026"
/werkwijze/,#verhuisdag,/verzekering/,#basis,waarvoor u onderweg verzekerd bent,wat er gedekt is,Wat als er onderweg iets gebeurt?,T2 (_werk/paginas/werkwijze.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #basis aanwezig in gebouwde HTML, 30-08-2026"
/werkwijze/,#aanspreekpunt,/klantervaringen/,#kev-vaak-kop,wat klanten hierover schrijven,ervaringen van klanten,Klopt dit ook in de praktijk?,T2 (_werk/paginas/werkwijze.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #kev-vaak-kop aanwezig in gebouwde HTML, 30-08-2026"
/werkwijze/,#werkwijze-vragen,/verzekering/,#basis,verzekering en garantie,waarvoor u gedekt bent,Is mijn inboedel onderweg verzekerd?,T2 (_werk/paginas/werkwijze.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #basis aanwezig in gebouwde HTML, 30-08-2026"
/werkwijze/,#werkwijze-offerte,/contact/,#contact-intro,even iemand spreken,bel of mail ons,Ik wil dit liever telefonisch bespreken,T2 (_werk/paginas/werkwijze.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026"
/verhuischecklist/,#checklist,/dozencalculator/,#calc,dozencalculator,reken uw dozen uit,Hoeveel dozen bestel ik?,T2 (_werk/paginas/verhuischecklist.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #calc aanwezig in gebouwde HTML, 30-08-2026"
/verhuischecklist/,#overnemen,/werkwijze/,#zo-werkt-het,wat wij van u overnemen,onze werkwijze,Welke punten hoef ik niet zelf te doen?,T2 (_werk/paginas/verhuischecklist.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #zo-werkt-het aanwezig in gebouwde HTML, 30-08-2026"
/verhuischecklist/,#overnemen,/inpaktips/,#inpak-start,zelf inpakken zonder schade,onze inpaktips,Hoe pak ik dat dan zelf goed in?,T2 (_werk/paginas/verhuischecklist.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #inpak-start aanwezig in gebouwde HTML, 30-08-2026"
/verhuischecklist/,#valkuilen,/m3-calculator/,#m3-fout-kop,wat mensen bij het volume vergeten,de m3-calculator,Wat vergeet ik nog meer?,T2 (_werk/paginas/verhuischecklist.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #m3-fout-kop aanwezig in gebouwde HTML, 30-08-2026"
/verhuischecklist/,#checklist-offerte,/contact/,#contact-intro,zet de verhuizer bovenaan uw lijst,neem contact op,Wanneer moet ik de verhuizer bellen?,T2 (_werk/paginas/verhuischecklist.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026"
/inpaktips/,#inpak-dozen,/dozencalculator/,#calc,hoeveel dozen u nodig heeft,de dozencalculator,Hoeveel van elke maat moet ik hebben?,T2 (_werk/paginas/inpaktips.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #calc aanwezig in gebouwde HTML, 30-08-2026"
/inpaktips/,#inpak-breekbaar,/verzekering/,#uitsluiting,wat er geldt bij zelf ingepakte dozen,waar de dekking stopt,Ben ik verzekerd als ik het zelf inpak?,T2 (_werk/paginas/inpaktips.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #uitsluiting aanwezig in gebouwde HTML, 30-08-2026"
/inpaktips/,#inpak-fouten,/verhuischecklist/,#valkuilen,de punten die het vaakst blijven liggen,de verhuischecklist,Wat vergeet ik nog meer?,T2 (_werk/paginas/inpaktips.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #valkuilen aanwezig in gebouwde HTML, 30-08-2026"
/inpaktips/,#inpak-service,/diensten/,#d-inpakservice,het inpakken uit handen geven,onze verhuisdiensten,Kan ik dit ook laten doen?,T2 (_werk/paginas/inpaktips.html),WIP: hubanker zolang de servicroute noindex is,"TE PLAATSEN, WIP-anker naar de dienstkaart op /diensten/","GEVALIDEERD: doelfragment #d-inpakservice aanwezig in gebouwde HTML, 30-08-2026"
/inpaktips/,#inpak-service,/inpakservice/,(paginabreed),onze inpakservice,het inpakken uitbesteden,Kan ik dit ook laten doen?,T2 (_werk/paginas/inpaktips.html),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/inpaktips/,#inpak-faq,/veelgestelde-vragen/,#vgv-vooraf,meer vragen over de weken ervoor,alle veelgestelde vragen,Wanneer komen die dozen eigenlijk?,T2 (_werk/paginas/inpaktips.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #vgv-vooraf aanwezig in gebouwde HTML, 30-08-2026"
/dozencalculator/,#rekenen,/m3-calculator/,#m3-intro-kop,het volume van uw inboedel,de m3-calculator,En hoeveel kubieke meter is dat dan?,T2 (_werk/paginas/dozencalculator.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #m3-intro-kop aanwezig in gebouwde HTML, 30-08-2026"
/dozencalculator/,#aannames,/verhuischecklist/,#checklist,wanneer u begint met inpakken,de verhuischecklist,Wanneer moet ik hiermee beginnen?,T2 (_werk/paginas/dozencalculator.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #checklist aanwezig in gebouwde HTML, 30-08-2026"
/dozencalculator/,#missers,/inpaktips/,#inpak-dozen,hoe u een doos goed vult,onze inpaktips,Hoe voorkom ik dat ik verkeerd inpak?,T2 (_werk/paginas/dozencalculator.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #inpak-dozen aanwezig in gebouwde HTML, 30-08-2026"
/dozencalculator/,#dozen-service,/diensten/,#d-inpakservice,het inpakken uit handen geven,onze verhuisdiensten,Kan ik het inpakken uitbesteden?,T2 (_werk/paginas/dozencalculator.html),WIP: hubanker zolang de servicroute noindex is,"TE PLAATSEN, WIP-anker naar de dienstkaart op /diensten/","GEVALIDEERD: doelfragment #d-inpakservice aanwezig in gebouwde HTML, 30-08-2026"
/dozencalculator/,#dozen-service,/inpakservice/,(paginabreed),onze inpakservice,het inpakken uitbesteden,Kan ik het inpakken uitbesteden?,T2 (_werk/paginas/dozencalculator.html),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/dozencalculator/,#offerte-cta,/werkwijze/,#opname,wat er bij de opname gebeurt,onze werkwijze,Hoe gaat het verder na mijn aanvraag?,T2 (_werk/paginas/dozencalculator.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #opname aanwezig in gebouwde HTML, 30-08-2026"
/m3-calculator/,#m3-opname-kop,/werkwijze/,#opname,waar de verhuisadviseur naar kijkt,onze werkwijze,Wat voegt een opname aan huis nog toe?,T2 (_werk/paginas/m3-calculator.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #opname aanwezig in gebouwde HTML, 30-08-2026"
/m3-calculator/,#m3-fout-kop,/dozencalculator/,#calc,reken uw dozen apart uit,de dozencalculator,Zitten de dozen hier al in?,T2 (_werk/paginas/m3-calculator.html),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #calc aanwezig in gebouwde HTML, 30-08-2026"
/m3-calculator/,#m3-faq-kop,/diensten/,#d-inboedelopslag,wat er niet meegaat en wel de opslag in kan,onze verhuisdiensten,Wat doe ik met wat niet mee kan?,T2 (_werk/paginas/m3-calculator.html),WIP: hubanker zolang de servicroute noindex is,"TE PLAATSEN, WIP-anker naar de dienstkaart op /diensten/","GEVALIDEERD: doelfragment #d-inboedelopslag aanwezig in gebouwde HTML, 30-08-2026"
/m3-calculator/,#m3-faq-kop,/inboedelopslag/,(paginabreed),onze inboedelopslag,tijdelijk opslaan,Wat doe ik met wat niet mee kan?,T2 (_werk/paginas/m3-calculator.html),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/m3-calculator/,#m3-slot-kop,/contact/,#contact-intro,uw schatting even doorspreken,neem contact op,Klopt mijn schatting wel?,T2 (_werk/paginas/m3-calculator.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-offerte,/m3-calculator/,#m3-intro-kop,m3-calculator,schat uw volume,Hoe kom ik aan het volume dat zij vragen?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #m3-intro-kop aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-offerte,/werkwijze/,#opname,wat er bij de opname gebeurt,onze werkwijze,Wat gebeurt er als de adviseur langskomt?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #opname aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-vooraf,/dozencalculator/,#calc,dozencalculator,reken uw dozen uit,Hoeveel dozen heb ik nodig?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #calc aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-vooraf,/verhuischecklist/,#checklist,verhuischecklist,wat wanneer moet,Wat moet ik wanneer regelen?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #checklist aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-verhuisdag,/werkwijze/,#verhuisdag,hoe de verhuisdag verloopt,onze werkwijze,Hoe laat staan jullie voor de deur?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #verhuisdag aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-verhuisdag,/diensten/,#d-montage-demontage,montage en demontage,wat wij nog meer doen,Sluiten jullie de wasmachine aan?,T2 (_werk/blok_veelgestelde_vragen.py),WIP: hubanker zolang de servicroute noindex is,"TE HERRICHTEN, wijst nu naar /montage-demontage/","GEVALIDEERD: doelfragment #d-montage-demontage aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-verhuisdag,/montage-demontage/,(paginabreed),montage en demontage,wat wij monteren,Sluiten jullie de wasmachine aan?,T2 (_werk/blok_veelgestelde_vragen.py),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/veelgestelde-vragen/,#vgv-schade,/verzekering/,#bedragen,verzekering,tot welk bedrag u gedekt bent,Tot hoeveel ben ik gedekt?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #bedragen aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-schade,/klachtenregeling/,#melden,klachtenregeling,hoe u schade meldt,Hoe meld ik schade?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,"ACTIEF, fragment toevoegen","GEVALIDEERD: doelfragment #melden aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-schade,/algemene-voorwaarden/,#avvv,de voorwaarden die hierbij gelden,AVVV 2025 nalezen,Waar staat dat precies?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avvv aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-opslag,/diensten/,#d-inboedelopslag,inboedelopslag,wat wij aan opslag doen,Waar staan mijn spullen dan?,T2 (_werk/blok_veelgestelde_vragen.py),WIP: hubanker zolang de servicroute noindex is,"TE HERRICHTEN, wijst nu naar /inboedelopslag/","GEVALIDEERD: doelfragment #d-inboedelopslag aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-opslag,/inboedelopslag/,(paginabreed),onze inboedelopslag,opslag van uw inboedel,Waar staan mijn spullen dan?,T2 (_werk/blok_veelgestelde_vragen.py),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/veelgestelde-vragen/,#vgv-opslag,/algemene-voorwaarden/,#avbv,de bewaarnemingsvoorwaarden AVBV 2025,de opslagvoorwaarden,Onder welke voorwaarden staat het er?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avbv aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-zakelijk,/diensten/,#d-kantoorverhuizing,kantoorverhuizing,wat wij zakelijk doen,Verhuizen jullie ook bedrijven?,T2 (_werk/blok_veelgestelde_vragen.py),WIP: hubanker zolang de servicroute noindex is,"TE HERRICHTEN, wijst nu naar /kantoorverhuizing/","GEVALIDEERD: doelfragment #d-kantoorverhuizing aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-zakelijk,/kantoorverhuizing/,(paginabreed),onze kantoorverhuizing,zakelijk verhuizen,Verhuizen jullie ook bedrijven?,T2 (_werk/blok_veelgestelde_vragen.py),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/veelgestelde-vragen/,#vgv-zakelijk,/diensten/,#d-internationale-verhuizing,internationale verhuizing,verhuizen over de grens,Verhuizen jullie ook naar het buitenland?,T2 (_werk/blok_veelgestelde_vragen.py),WIP: hubanker zolang de servicroute noindex is,"TE HERRICHTEN, wijst nu naar /internationale-verhuizing/","GEVALIDEERD: doelfragment #d-internationale-verhuizing aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-zakelijk,/internationale-verhuizing/,(paginabreed),onze internationale verhuizingen,verhuizen over de grens,Verhuizen jullie ook naar het buitenland?,T2 (_werk/blok_veelgestelde_vragen.py),pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"GEVALIDEERD: doel is de hele pagina, geen fragment om te toetsen; doelroute bestaat, 30-08-2026"
/veelgestelde-vragen/,#vgv-zakelijk,/algemene-voorwaarden/,#avvvbe,"de voorwaarden buiten Europa, AVVV-BE 2025",de internationale voorwaarden,Welke voorwaarden gelden buiten Europa?,T2 (_werk/blok_veelgestelde_vragen.py),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #avvvbe aanwezig in gebouwde HTML, 30-08-2026"
/veelgestelde-vragen/,#vgv-zakelijk,/algemene-voorwaarden/,(geen bestemming),de bedrijfsverhuisvoorwaarden,de voorwaarden voor bedrijven,"Onder welke aansprakelijkheidsvoorwaarden verhuist u ons kantoor? Shahab bevestigde 30-08 dat De Kievit AVB 2020 hanteert, maar die set is niet op de site gepubliceerd: de vijf gepubliceerde sets zijn AVVV, AVVV-BE, AVBV, AVHD en PV05. Bestemming pas te bepalen als T3 zegt of AVB 2020 wordt gepubliceerd of waarnaar in plaats daarvan verwezen wordt.",T2 (_werk/blok_veelgestelde_vragen.py),"GEBLOKKEERD: het antwoord noemt een grens van 50.000 euro per wagenzending, maar de set die dat regelt (AVB) staat niet op /algemene-voorwaarden/; die publiceert AVVV, AVVV-BE, AVBV, AVHD en PV05","GEBLOKKEERD, wacht op bestemmingsbesluit T3 (AVB 2020 bestaat, staat niet op de site)",GEBLOKKEERD: het label uit het masterplan heeft geen route en geen bestaand fragment; OWNER INPUT NEEDED bij T3
/vacatures/,#vac-start,/over-ons/,#wie-wij-zijn,wie wij zijn,over De Kievit,Bij wat voor bedrijf kom ik terecht?,T2 (_werk/paginas/vacatures.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #wie-wij-zijn aanwezig in gebouwde HTML, 30-08-2026"
/vacatures/,#vac-dag,/werkwijze/,#verhuisdag,hoe een verhuisdag verloopt,onze werkwijze,Hoe ziet zo'n dag er echt uit?,T2 (_werk/paginas/vacatures.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #verhuisdag aanwezig in gebouwde HTML, 30-08-2026"
/vacatures/,#vac-opleiding,/certificeringen/,#erkende-verhuizers,wat een erkend leerbedrijf betekent,onze erkenningen,Krijg ik hier een echt diploma?,T2 (_werk/paginas/vacatures.html),doelroute is indexeerbaar,TE PLAATSEN,"GEVALIDEERD: doelfragment #erkende-verhuizers aanwezig in gebouwde HTML, 30-08-2026"
/vacatures/,#vac-slot,/contact/,#bedrijfsgegevens,waar u ons vindt,onze contactgegevens,Waar moet ik mijn bericht heen sturen?,T2 (_werk/paginas/vacatures.html),sollicitatieactie in plaats van de verhuisoffertefunnel; sollicitatieadres OWNER INPUT NEEDED,TE PLAATSEN,"GEVALIDEERD: doelfragment #bedrijfsgegevens aanwezig in gebouwde HTML, 30-08-2026"
